Harm. #	Coeff. a	Coeff. b	Amplitude	Phase
0	-0.00000000	0.00000000	0.00000000	0.03079993
1	0.03131305	1.01633820	1.01682046	0.06159986
2	-0.00023779	-0.00385532	0.00386265	0.09239978
3	0.03083837	0.33279903	0.33422478	0.12319971
4	-0.00094755	-0.00765220	0.00771064	0.15399964
5	0.02989622	0.19259465	0.19490121	0.18479957
6	-0.00211852	-0.01133307	0.01152938	0.21559950
7	0.02850087	0.13013896	0.13322330	0.24639942
8	-0.00373295	-0.01484215	0.01530439	0.27719935
9	0.02667348	0.09374755	0.09746835	0.30799928
