Harm. #	Coeff. a	Coeff. b	Amplitude	Phase
0	-0.00795871	0.00000000	0.00397935	-0.00000000
1	-0.00795944	0.00789811	0.00723371	-0.78153105
2	-0.00795952	1.01857332	1.01462506	-1.56298211
3	-0.00795979	-0.00814891	0.00741200	0.79713806
4	-0.00796021	-0.00012379	0.00398181	0.01555044
5	-0.00795996	0.00765487	0.00706411	-0.76586220
6	-0.00795926	0.33946951	0.33558345	-1.54735446
7	-0.00795933	-0.00840867	0.00759893	0.81284342
8	-0.00795931	-0.00024927	0.00398386	0.03130820
9	-0.00795979	0.00741909	0.00690188	-0.75025358
10	-0.00795932	0.20361531	0.19979146	-1.53172623
11	-0.00795889	-0.00867572	0.00779401	0.82846382
12	-0.00795900	-0.00037336	0.00398839	0.04687554
13	-0.00795976	0.00718958	0.00674668	-0.73460310
14	-0.00795965	0.14536802	0.14160642	-1.51609581
15	-0.00795934	-0.00895289	0.00800002	0.84407768
16	-0.00795972	-0.00049834	0.00399595	0.06252580
17	-0.00795980	0.00696712	0.00659888	-0.71899324
18	-0.00795957	0.11299036	0.10929102	-1.50046782
19	-0.00795979	-0.00923972	0.00821617	0.85967819
20	-0.00795958	-0.00062329	0.00400459	0.07814767
21	-0.00795968	0.00675006	0.00645711	-0.70335015
22	-0.00795968	0.09237109	0.08873405	-1.48483802
23	-0.00795946	-0.00953765	0.00844320	0.87535214
24	-0.00795896	-0.00074900	0.00401477	0.09383200
25	-0.00796049	0.00653892	0.00632243	-0.68766721
26	-0.00795929	0.07808411	0.07450936	-1.46921495
27	-0.00795834	-0.00984491	0.00867993	0.89097193
28	-0.00795678	-0.00087413	0.00402530	0.10942150
29	-0.00796155	0.00633372	0.00619425	-0.67201523
30	-0.00796082	0.06759446	0.06408228	-1.45356308
31	-0.00795920	-0.01016784	0.00893319	0.90664290
32	-0.00795834	-0.00100150	0.00404176	0.12518488
33	-0.00795819	0.00613253	0.00606757	-0.65655155
34	-0.00795892	0.05956323	0.05611326	-1.43796177
35	-0.00796048	-0.01050215	0.00919883	0.92220429
36	-0.00796366	-0.00112657	0.00406360	0.14053180
37	-0.00796072	0.00593347	0.00594935	-0.64051401
38	-0.00795977	0.05321705	0.04982968	-1.42232525
39	-0.00795988	-0.01084742	0.00947524	0.93774117
40	-0.00796119	-0.00125861	0.00408072	0.15679543
41	-0.00796358	0.00574296	0.00583901	-0.62478240
42	-0.00795836	0.04806650	0.04474153	-1.40671507
43	-0.00795790	-0.01121196	0.00976969	0.95354437
44	-0.00796295	-0.00138579	0.00410328	0.17230441
45	-0.00795891	0.00556178	0.00573032	-0.60992805
46	-0.00795806	0.04380736	0.04054497	-1.39109551
47	-0.00795979	-0.01159242	0.01008275	0.96909496
48	-0.00796035	-0.00151143	0.00412321	0.18763611
49	-0.00796101	0.00537512	0.00562635	-0.59387340
50	-0.00795962	0.04022533	0.03702592	-1.37544402
51	-0.00795940	-0.01198675	0.01040933	0.98463050
52	-0.00795935	-0.00164099	0.00414740	0.20332238
53	-0.00795931	0.00519564	0.00552566	-0.57832327
54	-0.00796154	0.03716246	0.03402637	-1.35975032
55	-0.00795848	-0.01240761	0.01076127	1.00047693
56	-0.00795957	-0.00177112	0.00417488	0.21894762
57	-0.00796114	0.00502028	0.00543250	-0.56261493
58	-0.00795932	0.03451810	0.03144451	-1.34417343
59	-0.00795931	-0.01284580	0.01113240	1.01608654
60	-0.00796010	-0.00190128	0.00420466	0.23445855
61	-0.00795593	0.00484756	0.00533707	-0.54723078
62	-0.00796377	0.03221004	0.02920058	-1.32841236
63	-0.00795892	-0.01330174	0.01152164	1.03160072
64	-0.00795590	-0.00203968	0.00423384	0.25096803
65	-0.00795626	0.00467346	0.00524796	-0.53109914
66	-0.00795209	0.03017379	0.02722470	-1.31311247
67	-0.00796080	-0.01379023	0.01194373	1.04725167
68	-0.00796332	-0.00216252	0.00427237	0.26516591
69	-0.00794120	0.00452909	0.00516260	-0.51831589
70	-0.00796296	0.02836652	0.02548364	-1.29712313
71	-0.00795121	-0.01430848	0.01238996	1.06358806
72	-0.00795052	-0.00229651	0.00429619	0.28119661
73	-0.00796351	0.00435534	0.00509735	-0.50046912
74	-0.00797011	0.02675638	0.02393886	-1.28128845
75	-0.00796272	-0.01483968	0.01286170	1.07831230
76	-0.00796005	-0.00243247	0.00434406	0.29657284
77	-0.00795350	0.00419225	0.00501137	-0.48508813
78	-0.00794476	0.02529042	0.02252960	-1.26641712
79	-0.00796814	-0.01540868	0.01336765	1.09354661
