Harm. #	Coeff. a	Coeff. b	Amplitude	Phase
0	0.00315743	0.00000000	0.00315743	0.00000000
1	0.00198334	-0.00441051	0.00483594	-1.14820406
2	-0.00105602	0.00216782	0.00241135	-1.11749309
3	0.00207839	0.00283249	0.00351322	0.93776445
4	0.00111173	0.00959329	0.00965749	1.45542428
5	-0.02495463	-0.00611444	0.02569280	0.24028822
6	-0.01011932	-0.00076238	0.01014800	0.07519728
7	-0.00998470	-0.00246151	0.01028364	0.24170880
8	-0.00870518	-0.00118588	0.00878558	0.13539412
9	-0.02582137	0.02202603	0.03393949	-0.70624222
10	0.03516894	-0.03066419	0.04665991	-0.71707801
11	0.00766018	-0.01231236	0.01450078	-1.01424654
12	-0.00036879	-0.01293764	0.01294290	1.54229864
13	-0.00061316	-0.02839370	0.02840032	1.54920473
14	-0.00130989	-0.09839997	0.09840868	1.55748523
15	0.01128046	0.04003656	0.04159537	1.29616180
16	0.00929837	0.01686849	0.01926151	1.06701160
17	0.01053919	0.01945613	0.02212725	1.07435567
18	0.00309420	0.01366468	0.01401063	1.34811360
19	0.11341628	0.10940156	0.15758157	0.76738216
20	-0.00554383	-0.00344915	0.00652922	0.55655455
21	-0.00447204	-0.00469917	0.00648701	0.81015954
22	0.00916374	-0.00076816	0.00919588	-0.08363022
23	0.01756924	0.00108681	0.01760283	0.06178004
24	-0.13420237	0.02213904	0.13601623	-0.16349508
25	-0.01946222	0.01064345	0.02218245	-0.50044299
26	-0.01565222	0.00626078	0.01685791	-0.38050024
27	-0.01784159	0.01236727	0.02170879	-0.60612764
28	-0.03607585	0.03295413	0.04886146	-0.74020627
29	0.03648643	-0.07103512	0.07985767	-1.09629693
30	0.01168942	-0.02056715	0.02365693	-1.05397101
31	0.00712688	-0.01637398	0.01785776	-1.16027041
32	0.00612120	-0.01550576	0.01667027	-1.19480719
33	0.00269648	-0.03527323	0.03537615	-1.49449934
34	0.00615119	0.02102167	0.02190314	1.28613108
35	0.00006947	0.00614901	0.00614940	1.55949951
36	0.00153605	0.00299861	0.00336914	1.09739459
37	0.00121936	0.00081700	0.00146776	0.59031852
38	0.00283402	0.00838100	0.00884719	1.24471895
39	0.00569482	0.00047686	0.00571475	0.08354116
40	0.00380841	0.00019708	0.00381351	0.05170222
41	0.00236980	-0.00056908	0.00243717	-0.23567561
42	0.00372183	-0.00097837	0.00384827	-0.25705812
43	0.01505752	-0.01005132	0.01810409	-0.58859886
44	-0.00274947	0.00638946	0.00695592	-1.16443344
45	-0.00067868	0.00264870	0.00273427	-1.31995979
46	0.00073296	0.00300284	0.00309100	1.33139043
47	0.00121058	0.00273274	0.00298887	1.15378572
48	0.00007340	0.02171661	0.02171673	1.56741644
49	-0.00351152	-0.00072697	0.00358598	0.20413969
50	-0.00181699	0.00075129	0.00196618	-0.39207234
51	-0.00135883	0.00054396	0.00146366	-0.38077865
52	-0.00168933	0.00159036	0.00232015	-0.75523299
53	-0.01459515	-0.00663065	0.01603072	0.42642823
54	0.00048410	-0.00180887	0.00187253	-1.30930171
55	-0.00031473	-0.00156840	0.00159966	1.37275871
56	-0.00067589	-0.00064703	0.00093566	0.76358804
57	-0.00024312	-0.00045967	0.00052001	1.08430223
58	0.00530789	-0.00542402	0.00758905	-0.79621805
59	0.00170850	-0.00019201	0.00171925	-0.11191491
60	0.00094913	-0.00032903	0.00100455	-0.33369706
61	0.00052032	-0.00087331	0.00101656	-1.03346837
62	0.00095843	-0.00161342	0.00187662	-1.03477552
63	0.00019228	0.00330116	0.00330675	1.51261721
64	0.00012545	0.00120549	0.00121200	1.46710475
65	0.00015399	0.00065868	0.00067644	1.34113350
66	0.00073675	0.00106366	0.00129390	0.96501457
67	0.00065916	0.00226227	0.00235635	1.28727310
68	-0.00099764	-0.00051408	0.00112230	0.47581206
69	-0.00066289	0.00008386	0.00066817	-0.12583161
70	-0.00015018	0.00063413	0.00065167	-1.33825127
71	-0.00036109	0.00020586	0.00041564	-0.51814647
72	-0.00176496	-0.00052699	0.00184196	0.29016032
73	-0.00016030	-0.00070632	0.00072428	1.34762858
74	0.00016993	-0.00061562	0.00063864	-1.30146458
75	0.00017148	-0.00011112	0.00020433	-0.57499545
76	0.00025572	-0.00004971	0.00026050	-0.19200652
77	0.00084162	-0.00149448	0.00171517	-1.05790901
78	0.00043339	-0.00016100	0.00046233	-0.35568449
79	0.00021170	0.00020544	0.00029499	0.77038320
80	0.00020624	-0.00054235	0.00058024	-1.20741518
81	0.00014905	0.00023521	0.00027846	1.00597604
82	0.00126578	0.00184093	0.00223410	0.96845832
83	0.00091834	0.00199509	0.00219630	1.13940954
84	0.00000320	0.00004700	0.00004711	1.50283640
85	-0.00001033	0.00029639	0.00029657	-1.53594188
86	0.00052321	-0.00015741	0.00054638	-0.29224026
87	-0.00050425	0.00026089	0.00056774	-0.47745904
88	-0.00104368	0.00068265	0.00124711	-0.57924137
89	-0.00055697	0.00133383	0.00144545	-1.17523214
90	0.00015665	-0.00007128	0.00017210	-0.42702032
91	-0.00041987	-0.00039434	0.00057602	0.75404387
92	-0.00050711	0.00013708	0.00052531	-0.26400811
93	-0.00020751	-0.00004910	0.00021325	0.23235862
94	-0.00144795	-0.00107764	0.00180495	0.63981150
95	-0.00060727	0.00004868	0.00060922	-0.07999639
96	0.00018677	0.00049490	0.00052897	1.20993051
97	-0.00019373	-0.00030558	0.00036181	1.00578244
98	-0.00078763	-0.00021387	0.00081615	0.26514391
99	0.00015076	0.00049542	0.00051785	1.27538225
100	0.00041912	-0.00042190	0.00059469	-0.78869895
101	-0.00043428	0.00027127	0.00051204	-0.55834998
102	-0.00032360	-0.00039103	0.00050757	0.87947094
103	0.00100913	-0.00081644	0.00129805	-0.68023589
104	-0.00093331	-0.00140654	0.00168803	0.98495346
105	-0.00075427	-0.00091899	0.00118890	0.88352429
106	-0.00015834	0.00014397	0.00021401	-0.73791149
107	0.00005048	-0.00000232	0.00005053	-0.04591644
108	-0.00019715	0.00087542	0.00089735	-1.34928343
109	0.00064119	-0.00017757	0.00066533	-0.27016539
110	0.00190940	0.00000366	0.00190941	0.00191457
111	0.00034068	-0.00079710	0.00086685	-1.16689500
112	-0.00004976	-0.00064833	0.00065024	1.49420087
113	0.00024956	-0.00052201	0.00057860	-1.12484754
114	0.00021229	-0.00049507	0.00053866	-1.16569798
115	-0.00066804	-0.00017262	0.00068998	0.25286310
116	0.00036465	-0.00002556	0.00036555	-0.06998485
117	0.00012292	-0.00026042	0.00028797	-1.12978387
118	-0.00044332	0.00010043	0.00045456	-0.22277811
119	0.00011301	0.00029960	0.00032021	1.21008796
120	0.00104534	0.00006194	0.00104718	0.05918591
121	0.00033249	-0.00019627	0.00038609	-0.53325311
122	0.00015333	-0.00003894	0.00015820	-0.24867543
123	0.00037329	-0.00010236	0.00038707	-0.26762327
124	0.00038796	-0.00022563	0.00044880	-0.52676544
125	-0.00031687	0.00025242	0.00040512	-0.67266470
126	0.00026388	0.00011327	0.00028716	0.40545349
127	0.00047002	0.00027402	0.00054407	0.52782630
128	0.00020571	0.00010166	0.00022946	0.45899913
129	-0.00021229	0.00018219	0.00027975	-0.70922801
130	0.00016467	-0.00001309	0.00016519	-0.07931419
131	0.00016342	0.00023318	0.00028474	0.95951231
132	-0.00018666	0.00009704	0.00021038	-0.47941088
133	0.00017597	0.00026271	0.00031620	0.98061669
134	-0.00008520	-0.00034206	0.00035252	1.32669203
135	0.00008072	-0.00014762	0.00016825	-1.07040953
136	0.00021398	0.00029153	0.00036163	0.93761743
137	-0.00000124	-0.00009250	0.00009251	1.55738666
138	-0.00015029	0.00009823	0.00017954	-0.57891644
139	0.00012872	0.00005443	0.00013976	0.40001107
140	0.00020521	0.00022470	0.00030430	0.83068682
141	-0.00017045	-0.00003312	0.00017364	0.19193871
142	-0.00031734	0.00003059	0.00031881	-0.09610070
143	0.00035889	-0.00000109	0.00035890	-0.00302701
144	0.00022842	-0.00013287	0.00026426	-0.52685890
145	0.00036341	0.00013632	0.00038813	0.35886095
146	-0.00008067	0.00002411	0.00008420	-0.29042093
147	0.00017805	0.00009825	0.00020336	0.50420629
148	0.00010466	0.00004055	0.00011224	0.36963612
149	-0.00009645	0.00006100	0.00011413	-0.56395076
