Harm. #	Coeff. a	Coeff. b	Amplitude	Phase
0	-0.00292089	0.00000000	0.00292089	-0.00000000
1	-0.00168585	-0.00153572	0.00228047	0.73882901
2	-0.00002630	-0.00006130	0.00006671	1.16548264
3	-0.00055138	0.00087461	0.00103390	-1.00830342
4	-0.00058910	0.00128873	0.00141699	-1.14203888
5	-0.00001315	0.00119124	0.00119132	-1.55975456
6	-0.00144860	0.00105680	0.00179312	-0.63027494
7	0.00001837	-0.00010241	0.00010405	-1.39328016
8	0.00001564	0.00157256	0.00157263	1.56085252
9	-0.00035359	-0.00000880	0.00035370	0.02489157
10	-0.00008774	-0.00132614	0.00132904	1.50473322
11	0.00037412	0.00015098	0.00040343	0.38357807
12	-0.00050463	-0.00143279	0.00151906	1.23216159
13	0.00195958	-0.00112192	0.00225802	-0.51997667
14	0.00111439	-0.00194776	0.00224402	-1.05111287
15	0.00225502	0.00125427	0.00258037	0.50760030
16	-0.00097877	0.00096879	0.00137716	-0.78027321
17	-0.00010707	0.00028509	0.00030453	-1.21153950
18	-0.00008465	-0.00030197	0.00031361	1.29748440
19	-0.00029377	0.00069856	0.00075782	-1.17271049
20	-0.00091414	-0.00006901	0.00091674	0.07535326
21	-0.00092660	0.00069802	0.00116010	-0.64561854
22	-0.00023575	0.00009050	0.00025252	-0.36655305
23	-0.00052590	0.00017014	0.00055274	-0.31288394
24	-0.00002258	-0.00142611	0.00142629	1.55496610
25	-0.00070324	0.00050533	0.00086597	-0.62308720
26	0.00015083	-0.00087482	0.00088773	-1.40006222
27	0.00107481	-0.00055613	0.00121016	-0.47748496
28	0.00055441	-0.00120745	0.00132865	-1.14035657
29	0.00011396	-0.00022993	0.00025662	-1.11064973
30	0.00048820	-0.00032980	0.00058916	-0.59412547
31	0.00060095	-0.00048171	0.00077018	-0.67571201
32	0.00080789	-0.00028563	0.00085690	-0.33983056
33	-0.00022767	-0.00004358	0.00023181	0.18911441
34	0.00017274	-0.00033344	0.00037553	-1.09280363
35	0.00015335	0.00075592	0.00077132	1.37064196
36	0.00021457	0.00107862	0.00109976	1.37442641
37	-0.00025919	-0.00016259	0.00030597	0.56024792
38	0.00025853	-0.00025242	0.00036132	-0.77345518
39	0.00012877	0.00154120	0.00154657	1.48743807
40	0.00039352	0.00102800	0.00110075	1.20520289
41	0.00077358	-0.00074339	0.00107287	-0.76549985
42	0.00076509	0.00030539	0.00082379	0.37977799
43	-0.00036505	0.00079697	0.00087660	-1.14127624
44	0.00102730	-0.00019056	0.00104482	-0.18341338
45	0.00110407	-0.00084325	0.00138926	-0.65225356
46	0.00031041	0.00013286	0.00033765	0.40441971
47	-0.00108652	-0.00049966	0.00119591	0.43103286
48	-0.00040430	-0.00138181	0.00143975	1.28615342
49	-0.00042420	-0.00154929	0.00160631	1.30354285
50	0.00011970	-0.00145825	0.00146315	-1.48889423
51	-0.00000431	-0.00197299	0.00197299	1.56860967
52	-0.00043970	-0.00082525	0.00093507	1.08125077
53	-0.00003230	0.00040574	0.00040702	-1.49136271
54	0.00007805	0.00080164	0.00080543	1.47373805
55	-0.00023056	-0.00019331	0.00030087	0.69774241
56	-0.00157769	0.00108509	0.00191482	-0.60246898
57	-0.00051715	0.00166773	0.00174607	-1.27010838
58	-0.00000784	0.00159516	0.00159518	-1.56588087
59	-0.00048086	0.00107598	0.00117854	-1.15052110
60	-0.00144609	0.00120520	0.00188247	-0.69478803
61	0.00013581	0.00061773	0.00063248	1.35437914
62	0.00038918	0.00059610	0.00071190	0.99240238
63	0.00065984	0.00090645	0.00112117	0.94156531
64	0.00038092	-0.00024750	0.00045427	-0.57619168
65	0.00105428	-0.00091975	0.00139909	-0.71735265
66	0.00061802	-0.00022380	0.00065730	-0.34744018
67	0.00211187	0.00059109	0.00219303	0.27290806
68	0.00242650	-0.00057855	0.00249452	-0.23405780
69	0.00101825	-0.00011999	0.00102530	-0.11729401
70	-0.00017622	0.00168805	0.00169722	-1.46677974
71	0.00187013	0.00140958	0.00234185	0.64588571
72	0.00012192	-0.00042372	0.00044091	-1.29061651
73	-0.00240774	-0.00012984	0.00241124	0.05387526
74	-0.00129107	0.00139829	0.00190318	-0.82524398
75	0.00166768	-0.00009796	0.00167056	-0.05867244
76	-0.00174119	-0.00169547	0.00243030	0.77209336
77	-0.00421549	0.00020029	0.00422025	-0.04747812
78	-0.00111120	0.00050820	0.00122189	-0.42894197
79	0.00058220	-0.00250112	0.00256799	-1.34209445
80	-0.00154363	-0.00343063	0.00376191	1.14797949
81	-0.00055842	-0.00020405	0.00059453	0.35033741
82	0.00039120	-0.00212219	0.00215794	-1.38850577
83	-0.00287138	-0.00190589	0.00344633	0.58598358
84	-0.00066006	0.00459193	0.00463913	-1.42803009
85	0.00715749	0.00353537	0.00798301	0.45878784
86	0.00399950	-0.00870722	0.00958184	-1.14020974
87	-0.01387550	-0.00324124	0.01424904	0.22947919
88	-0.01178122	0.01978240	0.02302478	-1.03366247
89	0.01321230	0.02161076	0.02532962	1.02205408
90	0.01628542	-0.00423779	0.01682777	-0.25457415
91	-0.00983580	-0.01504886	0.01797808	0.99190106
92	-0.02120150	0.00576624	0.02197164	-0.26555006
93	-0.00395700	0.01756488	0.01800508	-1.34921613
94	0.01186659	0.00264729	0.01215829	0.21949355
95	0.01317045	-0.00828493	0.01555959	-0.56150990
96	0.01110066	-0.00720800	0.01323555	-0.57590451
97	0.01093693	-0.00511347	0.01207328	-0.43734543
98	0.00635313	0.00245858	0.00681226	0.36923871
99	0.01384886	0.01839563	0.02302586	0.92548404
100	0.02364815	0.00896084	0.02528896	0.36220596
101	0.01346711	-0.00780878	0.01556727	-0.52546483
102	-0.01367691	-0.00485212	0.01451210	0.34091552
103	-0.01275138	0.01036978	0.01643563	-0.68275471
104	0.00842466	0.00041612	0.00843493	0.04935350
105	0.00242095	-0.02224120	0.02237257	-1.46237343
106	-0.01297420	-0.02781214	0.03068949	1.13431095
107	-0.00552883	-0.01305611	0.01417851	1.17022514
108	0.01085783	-0.01029364	0.01496167	-0.75873095
109	0.00629046	-0.01237214	0.01387947	-1.10042151
110	0.00018672	-0.00996495	0.00996670	-1.55206084
